Year,ages,female,male
2051,20-24,0.3164447345,0.328807891
2051,25-29,0.3104327395,0.3235151695
2051,30-34,0.3170683555,0.33224596
2051,35-39,0.3224596075,0.3388930535
2051,40-44,0.309112314,0.324163576
2051,45-49,0.289830231,0.301677863
2051,50-54,0.276420093,0.2850639245
2051,55-59,0.2696998845,0.272110984
2051,60-64,0.269946264,0.2643325825
2051,65-69,0.239164697,0.225418903
2051,70-74,0.1999872045,0.180075643
2051,75-79,0.1711611835,0.144695963
2051,80-84,0.135501684,0.105254918
2051,85-89,0.0874356965,0.0599438015
2051,90-94,0.0396132135,0.0225366795
2051,95-99,0.013537213,0.005926966
2051,100+,0.0025416845,0.0007902755
2052,0-4,0.3265910545,0.33961296
2052,5-9,0.329384042,0.3421285725
2052,10-14,0.3281859655,0.340898355
2052,15-19,0.3235290975,0.3360428175
2052,20-24,0.317448216,0.329602235
2052,25-29,0.311359963,0.324104392
2052,30-34,0.313393515,0.327756187
2052,35-39,0.323087351,0.339228851
2052,40-44,0.312322676,0.327484387
2052,45-49,0.2924843455,0.304481338
2052,50-54,0.277931308,0.286748095
2052,55-59,0.268888023,0.271906328
2052,60-64,0.2695837045,0.2644655195
2052,65-69,0.243486003,0.229889209
2052,70-74,0.204959952,0.1849904615
2052,75-79,0.170962515,0.144869025
2052,80-84,0.138283855,0.1078648395
2052,85-89,0.0899902235,0.0619905495
2052,90-94,0.040829277,0.02345766
2052,95-99,0.014094474,0.006229396
2052,100+,0.002709168,0.000846136
2053,0-4,0.3252468125,0.3381768115
2053,5-9,0.3288791275,0.3415606685
2053,10-14,0.328579158,0.341243274
2053,15-19,0.324439454,0.3368706395
2053,20-24,0.3184613615,0.3304383305
2053,25-29,0.312322414,0.3247503625
2053,30-34,0.310628933,0.3242753135
2053,35-39,0.322556763,0.338275313
2053,40-44,0.315066548,0.330241588
2053,45-49,0.295746903,0.3079710975
2053,50-54,0.2796850965,0.2885802195
2053,55-59,0.2685959285,0.2721830065
2053,60-64,0.2682792085,0.263676847
2053,65-69,0.2477743455,0.234435654
2053,70-74,0.2100394985,0.1899510465
2053,75-79,0.171008149,0.145260287
2053,80-84,0.1402349345,0.109802316
2053,85-89,0.0917026175,0.063555392
2053,90-94,0.0432880115,0.025151408
2053,95-99,0.0146296975,0.0065299805
2053,100+,0.002869124,0.0008975495
2054,0-4,0.3238747125,0.3367128035
2054,5-9,0.328152144,0.340764836
2054,10-14,0.328822174,0.3414350765
2054,15-19,0.325296239,0.33765727
2054,20-24,0.319461954,0.331287822
2054,25-29,0.3132804805,0.325417568
2054,30-34,0.3090372775,0.3220887945
2054,35-39,0.321040196,0.3362177475
2054,40-44,0.317125021,0.3321938865
2054,45-49,0.299267812,0.3117345175
2054,50-54,0.2817024705,0.2906472165
2054,55-59,0.2686983935,0.272755255
2054,60-64,0.2664368805,0.2624199115
2054,65-69,0.2520856685,0.239092639
2054,70-74,0.214368798,0.1941778835
2054,75-79,0.172014765,0.1465148095
2054,80-84,0.141304655,0.1110285685
2054,85-89,0.093625793,0.065322328
2054,90-94,0.046098549,0.027017662
2054,95-99,0.0149855945,0.0067517825
2054,100+,0.003030029,0.000952617
2055,0-4,0.322530383,0.3352813345
2055,5-9,0.3272256485,0.3397603205
2055,10-14,0.3289159955,0.3414774345
2055,15-19,0.3260552365,0.3383533255
2055,20-24,0.320451352,0.332150062
2055,25-29,0.3142619825,0.326134796
2055,30-34,0.308564561,0.321127712
2055,35-39,0.318604313,0.3331425555
2055,40-44,0.3187188345,0.3335957095
2055,45-49,0.302706065,0.315377004
2055,50-54,0.2836410625,0.292610253
2055,55-59,0.2694370015,0.2738928865
2055,60-64,0.263846471,0.2604318015
2055,65-69,0.2560574055,0.243539488
2055,70-74,0.218485397,0.1982256485
2055,75-79,0.1744941285,0.149080429
2055,80-84,0.1416251085,0.1116230635
2055,85-89,0.095892055,0.067327377
2055,90-94,0.0485809435,0.028641064
2055,95-99,0.015270525,0.006949081
2055,100+,0.003205946,0.0010131075
2056,0-4,0.321263397,0.3339335745
2056,5-9,0.3261093015,0.338556099
2056,10-14,0.3288224655,0.3413314525
2056,15-19,0.3267394355,0.338981415
2056,20-24,0.3214217255,0.3330143295
