Location,Time,Sex,Age,Value
World,2087,Female,50+,1445978745.5
World,2087,Male,75+,585393145.0
World,2087,Female,75+,703837110.5
World,2088,Male,0-24,1554106840.0
World,2088,Female,0-24,1499998562.0
World,2088,Male,25-49,1618824004.0
World,2088,Female,25-49,1581072465.5
World,2088,Male,50+,1424139190.5
World,2088,Female,50+,1446517045.0
World,2088,Male,75+,592859017.5
World,2088,Female,75+,711313501.0
World,2089,Male,0-24,1548449226.0
World,2089,Female,0-24,1494495556.0
World,2089,Male,25-49,1615720723.0
World,2089,Female,25-49,1578123142.0
World,2089,Male,50+,1423834896.0
World,2089,Female,50+,1447170705.0
World,2089,Male,75+,600121512.5
World,2089,Female,75+,718685385.5
World,2090,Male,0-24,1542626659.0
World,2090,Female,0-24,1488831204.0
World,2090,Male,25-49,1612416947.0
World,2090,Female,25-49,1574961962.0
World,2090,Male,50+,1423704224.0
World,2090,Female,50+,1447935738.5
World,2090,Male,75+,607148917.5
World,2090,Female,75+,725915384.0
World,2091,Male,0-24,1536664589.0
World,2091,Female,0-24,1483030388.0
World,2091,Male,25-49,1608887462.5
World,2091,Female,25-49,1571566636.5
World,2091,Male,50+,1423676505.0
World,2091,Female,50+,1448751353.0
World,2091,Male,75+,614000668.0
World,2091,Female,75+,733069530.0
World,2092,Male,0-24,1530526673.5
World,2092,Female,0-24,1477056910.0
World,2092,Male,25-49,1605213755.5
World,2092,Female,25-49,1568019749.5
World,2092,Male,50+,1423641737.5
World,2092,Female,50+,1449521987.0
World,2092,Male,75+,620768140.0
World,2092,Female,75+,740210875.5
World,2093,Male,0-24,1524249022.0
World,2093,Female,0-24,1470945624.0
World,2093,Male,25-49,1601417137.5
World,2093,Female,25-49,1564339071.5
World,2093,Male,50+,1424443878.0
World,2093,Female,50+,1451022422.5
World,2093,Male,75+,626559762.5
World,2093,Female,75+,746514169.5
World,2094,Male,0-24,1517887684.0
World,2094,Female,0-24,1464753287.0
World,2094,Male,25-49,1597508367.5
World,2094,Female,25-49,1560532217.5
World,2094,Male,50+,1426263485.0
World,2094,Female,50+,1453425696.5
World,2094,Male,75+,631140978.5
World,2094,Female,75+,751760433.5
World,2095,Male,0-24,1511464804.0
World,2095,Female,0-24,1458499641.0
World,2095,Male,25-49,1593513550.5
World,2095,Female,25-49,1556628022.0
World,2095,Male,50+,1429006636.5
World,2095,Female,50+,1456654703.5
World,2095,Male,75+,634567660.5
World,2095,Female,75+,755970826.0
World,2096,Male,0-24,1504963682.0
World,2096,Female,0-24,1452167177.5
World,2096,Male,25-49,1589456985.5
World,2096,Female,25-49,1552652024.5
World,2096,Male,50+,1432563603.0
World,2096,Female,50+,1460599090.0
World,2096,Male,75+,636909540.0
World,2096,Female,75+,759205047.0
World,2097,Male,0-24,1498356428.0
World,2097,Female,0-24,1445728675.0
World,2097,Male,25-49,1585395438.5
World,2097,Female,25-49,1548657549.0
World,2097,Male,50+,1436237966.5
World,2097,Female,50+,1464598389.5
World,2097,Male,75+,638824831.0
World,2097,Female,75+,762089170.0
World,2098,Male,0-24,1491665236.0
World,2098,Female,0-24,1439204311.5
World,2098,Male,25-49,1581367403.0
