Location,Iso3,Value,type
Bulgaria,BGR,2.011861,Fertility
Bulgaria,BGR,2.006472,Fertility
Bulgaria,BGR,2.005879,Fertility
Bulgaria,BGR,1.977674,Fertility
Bulgaria,BGR,2.011311,Fertility
Bulgaria,BGR,1.964858,Fertility
Bulgaria,BGR,1.967411,Fertility
Bulgaria,BGR,1.903529,Fertility
Bulgaria,BGR,1.809906,Fertility
Bulgaria,BGR,1.644803,Fertility
Bulgaria,BGR,1.545968,Fertility
Bulgaria,BGR,1.461198,Fertility
Bulgaria,BGR,1.360806,Fertility
Bulgaria,BGR,1.240088,Fertility
Bulgaria,BGR,1.223443,Fertility
Bulgaria,BGR,1.100184,Fertility
Bulgaria,BGR,1.120243,Fertility
Bulgaria,BGR,1.229186,Fertility
Bulgaria,BGR,1.260846,Fertility
Bulgaria,BGR,1.215292,Fertility
Bulgaria,BGR,1.230051,Fertility
Bulgaria,BGR,1.25406,Fertility
Bulgaria,BGR,1.323132,Fertility
Bulgaria,BGR,1.365667,Fertility
Bulgaria,BGR,1.434632,Fertility
Bulgaria,BGR,1.48888,Fertility
Bulgaria,BGR,1.560284,Fertility
Bulgaria,BGR,1.635323,Fertility
Bulgaria,BGR,1.571139,Fertility
Bulgaria,BGR,1.5126,Fertility
Bulgaria,BGR,1.499394,Fertility
Bulgaria,BGR,1.48596,Fertility
Bulgaria,BGR,1.531279,Fertility
Bulgaria,BGR,1.53454,Fertility
Bulgaria,BGR,1.544907,Fertility
Bulgaria,BGR,1.558464,Fertility
Bulgaria,BGR,1.558437,Fertility
Bulgaria,BGR,1.575136,Fertility
Bulgaria,BGR,1.58094,Fertility
Bulgaria,BGR,1.586037,Fertility
Bulgaria,BGR,1.589998,Fertility
Bulgaria,BGR,1.593644,Fertility
Belarus,BLR,2.50221,Fertility
Belarus,BLR,2.534178,Fertility
Belarus,BLR,2.593092,Fertility
Belarus,BLR,2.641968,Fertility
Belarus,BLR,2.680803,Fertility
Belarus,BLR,2.709507,Fertility
Belarus,BLR,2.727835,Fertility
Belarus,BLR,2.73574,Fertility
Belarus,BLR,2.732975,Fertility
Belarus,BLR,2.718933,Fertility
Belarus,BLR,2.693253,Fertility
Belarus,BLR,2.674435,Fertility
Belarus,BLR,2.612232,Fertility
Belarus,BLR,2.50107,Fertility
Belarus,BLR,2.347705,Fertility
Belarus,BLR,2.278581,Fertility
Belarus,BLR,2.260728,Fertility
Belarus,BLR,2.276768,Fertility
Belarus,BLR,2.287939,Fertility
Belarus,BLR,2.282452,Fertility
Belarus,BLR,2.347416,Fertility
Belarus,BLR,2.363641,Fertility
Belarus,BLR,2.325028,Fertility
