0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90-94,95-99,+100,Year
53226107,6705163,3979404,5621553,7267238,7514537,7896471,8915059,10308188,12279839,15551909,18268745,21155741,26138931,32274490,34959612,33295988,23408572,11438284,3870052,674264,2008
51279821,6313621,3786092,5394425,7085536,7374154,7671969,8717853,10201988,12301438,15488863,18607528,21817330,25902656,32452294,35055091,33926872,24407276,11568801,4004511,707202,2009
49781856,6221842,3752425,5303830,7022083,7305720,7570965,8584541,10189005,12401484,15465659,19075283,22701467,25891424,32695009,35391175,34762674,25351959,12187341,4187280,757587,2010
48053992,5940461,3602567,5106349,6819892,7130143,7417677,8388144,10130684,12447572,15403834,19413572,23485234,25991233,32675296,35703255,35272402,26098245,12859502,4276045,802739,2011
46653907,5819529,3543243,4998363,6676818,7044539,7350374,8256884,10103067,12486556,15445738,19764562,24206981,26454057,32553928,36217008,35801475,27027740,13678763,4381128,861577,2012
45210964,5675395,3468858,4871739,6485061,6908844,7262948,8101551,10020035,12424765,15670351,20075982,24951828,27141086,32318023,36663392,36120139,27752845,14387507,4416792,907809,2013
43667033,5573045,3406147,4775817,6303656,6789806,7191817,7988102,9893892,12342419,15990838,20225121,25522598,28046447,32112022,36993084,36331807,28290692,15060436,4544595,958330,2014
42217392,5497661,3362577,4711549,6159326,6715151,7145049,7945686,9788391,12362578,16383569,20348682,26164599,29204195,32185148,37438434,36979901,29378077,16020812,4909813,1017020,2015
40870399,5381250,3291705,4646621,6046239,6650728,7130052,7953186,9690391,12387084,16726369,20434261,26651054,30327118,32417054,37602545,37357458,29859535,16446179,5214874,1043388,2016
39474783,5280517,3241435,4604818,5966346,6573500,7120379,7979658,9619738,12423327,16937448,20563121,27147083,31490468,33302958,37865994,38346603,30796200,17302668,5654812,1095255,2017
38220052,5212073,3203035,4556082,5881038,6474587,7086140,8009859,9542742,12347693,16826995,20815800,27414480,32538998,34321000,37783715,38970762,31291823,17802728,6000127,1123475,2018
37058027,5124253,3171467,4513930,5822705,6388970,7084497,8055705,9537251,12301980,16792333,21246235,27614801,33528821,35877506,37900423,39709523,31904162,18328582,6341926,1166624,2019
35819433,5031173,3128478,4412335,5676967,6221103,7145827,8437722,10225155,13297660,18554735,24366599,31194875,38552216,41494100,41408591,43838880,35550953,20156964,6892537,1278553,2020
34948467,4948558,3155782,4807782,6218466,6806851,7921454,9480441,11538422,15042859,21194793,28002950,35310612,43762781,47760742,45946811,48088429,38509903,21426560,7347558,1410835,2021

