Location,Age,Value
Côte d'Ivoire,70,190388.0
Côte d'Ivoire,75,111460.0
Côte d'Ivoire,80,59922.5
Côte d'Ivoire,85,25763.5
Côte d'Ivoire,90,7791.0
Côte d'Ivoire,95,1490.5
Côte d'Ivoire,100,163.0
Kenya,0,7035351.0
Kenya,5,6729935.0
Kenya,10,6743392.0
Kenya,15,6331646.0
Kenya,20,5378664.0
Kenya,25,4509485.0
Kenya,30,4022551.0
Kenya,35,3538514.0
Kenya,40,2858969.0
Kenya,45,2250439.0
Kenya,50,1775754.0
Kenya,55,1355946.5
Kenya,60,968044.0
Kenya,65,641987.0
Kenya,70,412442.5
Kenya,75,270472.5
Kenya,80,153299.5
Kenya,85,79188.0
Kenya,90,31841.5
Kenya,95,9725.5
Kenya,100,2939.5
Lesotho,0,274753.5
Lesotho,5,265811.5
Lesotho,10,247922.0
Lesotho,15,231237.0
Lesotho,20,218257.5
Lesotho,25,207534.5
Lesotho,30,195906.0
Lesotho,35,169569.5
Lesotho,40,130645.0
Lesotho,45,96727.0
Lesotho,50,74310.0
Lesotho,55,64495.5
Lesotho,60,54818.0
Lesotho,65,40608.5
Lesotho,70,26452.0
Lesotho,75,15872.5
Lesotho,80,9077.0
Lesotho,85,4482.5
Lesotho,90,1487.0
Lesotho,95,312.0
Lesotho,100,39.0
Liberia,0,758635.0
Liberia,5,717929.0
Liberia,10,691150.0
Liberia,15,620816.0
Liberia,20,510163.5
Liberia,25,402272.5
Liberia,30,332273.0
Liberia,35,300079.0
Liberia,40,273509.5
Liberia,45,227865.5
Liberia,50,175520.5
Liberia,55,132292.0
Liberia,60,97442.5
Liberia,65,72208.5
Liberia,70,49680.5
Liberia,75,33277.0
Liberia,80,16707.5
Liberia,85,5393.0
Liberia,90,1064.0
Liberia,95,96.5
Liberia,100,1.5
Libya,0,596944.0
Libya,5,639542.0
Libya,10,672141.0
Libya,15,654203.5
Libya,20,584326.0
Libya,25,518876.5
Libya,30,470658.5
Libya,35,479394.5
Libya,40,516157.0
Libya,45,489437.0
Libya,50,414958.0
Libya,55,299265.0
Libya,60,210134.5
Libya,65,123722.0
Libya,70,95410.0
Libya,75,63036.0
Libya,80,38089.5
Libya,85,16490.0
Libya,90,4742.5
Libya,95,795.5
Libya,100,65.0
Madagascar,0,4274389.5
Madagascar,5,3876204.5
Madagascar,10,3595159.5
Madagascar,15,3242577.0
Madagascar,20,2863518.0
Madagascar,25,2541833.5
Madagascar,30,2091334.5
Madagascar,35,1693063.5
Madagascar,40,1440515.5
Madagascar,45,1252353.5
Madagascar,50,1029289.0
Madagascar,55,782680.0
Madagascar,60,610294.0
Madagascar,65,455935.0
Madagascar,70,308480.5
Madagascar,75,151401.5
Madagascar,80,77204.5
Madagascar,85,30699.5
Madagascar,90,7731.0
Madagascar,95,1005.5
Madagascar,100,62.5
Malawi,0,3140839.5
Malawi,5,2891470.0
Malawi,10,2768696.0
Malawi,15,2515980.0
Malawi,20,2041544.0
Malawi,25,1646516.5
Malawi,30,1371740.5
Malawi,35,1195170.5
Malawi,40,1025160.0
Malawi,45,712288.5
Malawi,50,475602.5
Malawi,55,353669.0
Malawi,60,261293.5
Malawi,65,178605.0
Malawi,70,132512.5
Malawi,75,108359.5
Malawi,80,65219.5
Malawi,85,31346.5
Malawi,90,11814.5
Malawi,95,3242.5
Malawi,100,680.5
Mali,0,4197163.0
Mali,5,3610768.0
Mali,10,3133652.5
Mali,15,2619160.5
Mali,20,2069029.0
Mali,25,1612771.0
Mali,30,1347161.5
Mali,35,1165238.0
Mali,40,977228.0
Mali,45,757920.5
Mali,50,556286.5
Mali,55,401747.0
Mali,60,301423.5
Mali,65,229548.0
Mali,70,163860.5
Mali,75,96510.0
Mali,80,42487.5
Mali,85,10257.0
Mali,90,1424.5
Mali,95,62.0
Mali,100,0.0
Mauritania,0,721138.5
Mauritania,5,648466.0
Mauritania,10,631726.0
Mauritania,15,542147.0
Mauritania,20,446251.0
Mauritania,25,376897.5
Mauritania,30,316677.5
Mauritania,35,266561.0
Mauritania,40,217989.5
Mauritania,45,179647.5
Mauritania,50,148794.0
Mauritania,55,118522.0
Mauritania,60,92149.0
Mauritania,65,66847.0
Mauritania,70,43753.0
Mauritania,75,25895.0
Mauritania,80,12964.0
Mauritania,85,4852.5
Mauritania,90,1398.0
Mauritania,95,286.5
Mauritania,100,26.0
Mauritius,0,65784.0
Mauritius,5,66968.5
Mauritius,10,75484.0
Mauritius,15,89774.0
Mauritius,20,95642.0
Mauritius,25,97104.0
Mauritius,30,98894.5
Mauritius,35,88194.5
Mauritius,40,99726.5
Mauritius,45,93507.5
Mauritius,50,82615.5
Mauritius,55,90800.0
Mauritius,60,83011.0
Mauritius,65,66687.5
Mauritius,70,49993.0
Mauritius,75,28579.5
Mauritius,80,15446.0
Mauritius,85,8332.5
Mauritius,90,3111.0
Mauritius,95,799.0
Mauritius,100,102.5
Morocco,0,3213524.5
Morocco,5,3376259.0
Morocco,10,3356145.0
Morocco,15,3073387.5
Morocco,20,2904245.5
Morocco,25,2836549.5
Morocco,30,2863409.0
Morocco,35,2796832.0
Morocco,40,2600105.0
Morocco,45,2332027.0
Morocco,50,2050503.5
Morocco,55,1811587.5
Morocco,60,1587494.5
Morocco,65,1279806.5
Morocco,70,868319.0
Morocco,75,497955.5
Morocco,80,258956.0
Morocco,85,101652.0
Morocco,90,27326.5
Morocco,95,3743.0
Morocco,100,216.0
Mozambique,0,5468526.5
Mozambique,5,4848905.0
Mozambique,10,4357090.5
Mozambique,15,3680378.0
Mozambique,20,3185810.5
Mozambique,25,2663864.0
Mozambique,30,2212568.0
Mozambique,35,1795101.5
Mozambique,40,1426843.5
Mozambique,45,1202675.0
Mozambique,50,955689.5
Mozambique,55,692230.0
Mozambique,60,536006.5
Mozambique,65,396865.5
Mozambique,70,255837.0
Mozambique,75,136078.5
Mozambique,80,60232.5
Mozambique,85,18184.0
Mozambique,90,3914.0
Mozambique,95,517.5
Mozambique,100,36.5
Namibia,0,333627.5
Namibia,5,320626.0
Namibia,10,289029.5
Namibia,15,245671.5
Namibia,20,232832.0
Namibia,25,226250.0
Namibia,30,216490.5
Namibia,35,162131.5
Namibia,40,131198.0
Namibia,45,114372.0
Namibia,50,95428.5
Namibia,55,77079.0
Namibia,60,57009.0
Namibia,65,41551.0
Namibia,70,28656.5
Namibia,75,17579.0
Namibia,80,9126.0
Namibia,85,3768.5
Namibia,90,1332.5
Namibia,95,354.0
Namibia,100,59.5
Niger,0,5318234.0
Niger,5,4345861.0
Niger,10,3599332.5
Niger,15,2956144.0
Niger,20,2371570.0
Niger,25,1876041.0
Niger,30,1469159.5
Niger,35,1206600.0
Niger,40,1009598.0
Niger,45,802435.0
Niger,50,647591.5
Niger,55,532620.0
Niger,60,415316.5
Niger,65,299360.0
Niger,70,187719.0
Niger,75,107432.0
Niger,80,45107.0
Niger,85,11169.5
Niger,90,1474.5
Niger,95,78.0
Niger,100,0.0
Nigeria,0,35907491.0
Nigeria,5,31551901.5
Nigeria,10,28244978.0
Nigeria,15,24325616.5
Nigeria,20,20173207.0
Nigeria,25,16577275.5
Nigeria,30,13850839.0
Nigeria,35,11939484.5
Nigeria,40,10423660.0
Nigeria,45,8477992.0
Nigeria,50,6531541.0
Nigeria,55,5129593.5
Nigeria,60,3988873.5
Nigeria,65,2910752.0
Nigeria,70,1903898.0
Nigeria,75,1145519.0
Nigeria,80,522469.5
Nigeria,85,164500.5
Nigeria,90,31559.0
Nigeria,95,3300.0
Nigeria,100,181.0
Guinea-Bissau,0,299240.5
Guinea-Bissau,5,285966.5
Guinea-Bissau,10,267358.0
Guinea-Bissau,15,238536.5
Guinea-Bissau,20,203264.0
Guinea-Bissau,25,172844.0
Guinea-Bissau,30,147350.5
Guinea-Bissau,35,133009.5
Guinea-Bissau,40,111782.0
Guinea-Bissau,45,87320.5
Guinea-Bissau,50,63404.0
Guinea-Bissau,55,44451.5
Guinea-Bissau,60,35317.0
Guinea-Bissau,65,27408.0
Guinea-Bissau,70,17875.0
Guinea-Bissau,75,9307.5
Guinea-Bissau,80,4287.5
Guinea-Bissau,85,1612.0
Guinea-Bissau,90,431.0
Guinea-Bissau,95,70.5
Guinea-Bissau,100,6.0
Réunion,0,70263.0
Réunion,5,74671.0
Réunion,10,75755.5
Réunion,15,76268.0
Réunion,20,74240.5
Réunion,25,61383.5
Réunion,30,56319.0
Réunion,35,54987.0
Réunion,40,56235.5
Réunion,45,59605.0
Réunion,50,64210.0
Réunion,55,66660.5
Réunion,60,56289.0
Réunion,65,45731.5
Réunion,70,34773.5
Réunion,75,23324.0
Réunion,80,15951.5
Réunion,85,9608.0
Réunion,90,4017.5
Réunion,95,1210.0
Réunion,100,292.5
Rwanda,0,1935500.0
Rwanda,5,1781999.5
Rwanda,10,1647846.5
Rwanda,15,1567487.0
Rwanda,20,1331800.0
Rwanda,25,1132559.5
Rwanda,30,1027836.0
Rwanda,35,949683.0
Rwanda,40,756672.0
Rwanda,45,510029.0
Rwanda,50,392199.0
Rwanda,55,316828.0
Rwanda,60,283288.0
Rwanda,65,206307.0
Rwanda,70,128110.5
Rwanda,75,67050.5
Rwanda,80,37260.5
Rwanda,85,15892.0
Rwanda,90,5246.0
Rwanda,95,943.5
Rwanda,100,145.5
Saint Helena,0,201.0
Saint Helena,5,275.0
Saint Helena,10,268.0
Saint Helena,15,212.5
Saint Helena,20,116.5
Saint Helena,25,200.5
Saint Helena,30,271.0
Saint Helena,35,237.5
Saint Helena,40,270.5
Saint Helena,45,301.0
Saint Helena,50,435.5
Saint Helena,55,464.0
Saint Helena,60,522.0
Saint Helena,65,418.5
Saint Helena,70,431.0
Saint Helena,75,362.5
Saint Helena,80,184.0
Saint Helena,85,92.5
Saint Helena,90,38.0
Saint Helena,95,10.5
Saint Helena,100,1.5
Sao Tome and Principe,0,30786.0
Sao Tome and Principe,5,30465.5
Sao Tome and Principe,10,29010.5
Sao Tome and Principe,15,26898.0
Sao Tome and Principe,20,21060.0
Sao Tome and Principe,25,15881.0
Sao Tome and Principe,30,13526.5
Sao Tome and Principe,35,13280.0
Sao Tome and Principe,40,12771.0
Sao Tome and Principe,45,10289.0
Sao Tome and Principe,50,7932.0
Sao Tome and Principe,55,6191.0
Sao Tome and Principe,60,5007.5
Sao Tome and Principe,65,3402.5
Sao Tome and Principe,70,2263.5
Sao Tome and Principe,75,1435.5
Sao Tome and Principe,80,1047.5
Sao Tome and Principe,85,468.5
Sao Tome and Principe,90,123.5
Sao Tome and Principe,95,16.0
Sao Tome and Principe,100,0.5
Senegal,0,2650866.5
Senegal,5,2434770.5
Senegal,10,2221623.5
Senegal,15,1919919.5
Senegal,20,1622807.5
Senegal,25,1363963.5
Senegal,30,1190497.5
Senegal,35,1029313.5
Senegal,40,853903.0
Senegal,45,682128.5
Senegal,50,523427.0
Senegal,55,403939.5
Senegal,60,309018.0
Senegal,65,230621.0
Senegal,70,159954.0
Senegal,75,100517.5
Senegal,80,48460.5
Senegal,85,14971.0
Senegal,90,2326.5
Senegal,95,133.5
Senegal,100,1.0
Seychelles,0,8202.5
Seychelles,5,8428.0
Seychelles,10,8117.5
Seychelles,15,7290.0
Seychelles,20,6818.5
Seychelles,25,8145.0
Seychelles,30,8299.5
Seychelles,35,8208.0
Seychelles,40,8282.5
Seychelles,45,8083.0
Seychelles,50,6848.0
Seychelles,55,6277.0
Seychelles,60,5516.5
Seychelles,65,3805.5
Seychelles,70,2288.5
Seychelles,75,1444.0
Seychelles,80,865.0
Seychelles,85,480.5
Seychelles,90,203.5
Seychelles,95,50.0
Seychelles,100,7.0
Sierra Leone,0,1208037.0
Sierra Leone,5,1118706.0
Sierra Leone,10,1061351.0
Sierra Leone,15,958004.5
Sierra Leone,20,854551.0
Sierra Leone,25,725413.5
Sierra Leone,30,610057.5
Sierra Leone,35,516142.0
Sierra Leone,40,426827.0
Sierra Leone,45,351275.0
Sierra Leone,50,284278.5
Sierra Leone,55,227219.0
Sierra Leone,60,171999.5
Sierra Leone,65,121133.0
Sierra Leone,70,77419.5
Sierra Leone,75,48557.5
Sierra Leone,80,21682.0
Sierra Leone,85,6835.5
Sierra Leone,90,1415.0
Sierra Leone,95,177.0
Sierra Leone,100,11.0
Somalia,0,3356724.0
Somalia,5,2826283.5
Somalia,10,2354132.0
Somalia,15,1966148.5
Somalia,20,1640913.0
Somalia,25,1348683.0
Somalia,30,984993.0
Somalia,35,874967.0
Somalia,40,707180.5
Somalia,45,551034.0
Somalia,50,440811.0
Somalia,55,352090.0
Somalia,60,276178.5
Somalia,65,206205.5
Somalia,70,138636.0
Somalia,75,71598.5
Somalia,80,32936.0
Somalia,85,11194.5
Somalia,90,2332.5
Somalia,95,316.5
Somalia,100,21.0
South Africa,0,5772365.5
South Africa,5,5696978.5
South Africa,10,5627595.0
South Africa,15,5087593.0
South Africa,20,4495674.0
South Africa,25,5052772.5
South Africa,30,5571423.0
South Africa,35,5300605.5
South Africa,40,4123267.0
South Africa,45,2751203.5
South Africa,50,2964669.0
South Africa,55,2660944.0
South Africa,60,1774156.5
South Africa,65,1258895.5
South Africa,70,1005327.5
South Africa,75,650258.0
South Africa,80,356904.5
South Africa,85,165497.0
South Africa,90,72382.0
South Africa,95,22246.0
South Africa,100,3737.0
Zimbabwe,0,2329265.5
Zimbabwe,5,2241115.0
Zimbabwe,10,2142170.0
Zimbabwe,15,1820760.5
Zimbabwe,20,1674264.0
Zimbabwe,25,1299046.5
Zimbabwe,30,1056548.0
Zimbabwe,35,1045954.5
Zimbabwe,40,903091.0
Zimbabwe,45,641761.0
Zimbabwe,50,435369.0
Zimbabwe,55,293117.0
Zimbabwe,60,233701.5
Zimbabwe,65,215978.0
Zimbabwe,70,167507.0
Zimbabwe,75,92072.5
Zimbabwe,80,46729.5
Zimbabwe,85,18142.0
Zimbabwe,90,6845.5
Zimbabwe,95,1739.0
Zimbabwe,100,231.5
South Sudan,0,1438228.5
South Sudan,5,1659202.0
South Sudan,10,1666694.0
South Sudan,15,1379764.0
South Sudan,20,1058673.0
South Sudan,25,618368.0
South Sudan,30,521582.5
South Sudan,35,495001.0
South Sudan,40,527914.0
South Sudan,45,490592.0
South Sudan,50,397457.5
South Sudan,55,293762.0
South Sudan,60,215361.0
South Sudan,65,148108.0
South Sudan,70,90836.5
South Sudan,75,55285.0
South Sudan,80,23941.0
South Sudan,85,6965.5
South Sudan,90,1031.5
South Sudan,95,28.5
South Sudan,100,0.5
Sudan,0,7289083.0
Sudan,5,6540731.5
Sudan,10,5753519.0
Sudan,15,4866651.0
Sudan,20,4326277.5
Sudan,25,3814823.5
Sudan,30,3378501.5
Sudan,35,2956453.5
Sudan,40,2388728.5
Sudan,45,1722896.5
Sudan,50,1325959.0
Sudan,55,1085568.0
Sudan,60,941640.0
Sudan,65,779459.0
Sudan,70,516223.0
Sudan,75,265865.5
Sudan,80,107274.5
Sudan,85,36948.5
Sudan,90,10498.5
Sudan,95,1780.0
Sudan,100,124.5
Western Sahara,0,46683.0
Western Sahara,5,47091.0
Western Sahara,10,46861.5
Western Sahara,15,42911.5
Western Sahara,20,41709.5
Western Sahara,25,43398.5
Western Sahara,30,50503.5
Western Sahara,35,56038.5
Western Sahara,40,52716.0
Western Sahara,45,41687.5
Western Sahara,50,34314.5
Western Sahara,55,26812.5
Western Sahara,60,20958.0
Western Sahara,65,16167.5
Western Sahara,70,10460.5
Western Sahara,75,5513.5
Western Sahara,80,2404.5
Western Sahara,85,799.0
Western Sahara,90,185.5
Western Sahara,95,34.5
Western Sahara,100,8.0
Eswatini,0,137482.5
Eswatini,5,139972.5
Eswatini,10,138598.5
Eswatini,15,127104.0
Eswatini,20,111099.5
Eswatini,25,102386.5
